STORE_CODE,STORE_DISPLAY_NAME,TRANS_DATE,TRANS_TIME,TRANS_NO,TILL_NO,DISCOUNT_HEADER,TAX_HEADER,NET_SALES_HEADER_VALUES,quantity,TRANS_TYPE,ID_KEY,TENDER,DM_LOAD_DATE,DM_LOAD_DELTA_ID
BIAL0128,TFS BLR Lounge-East Pier,9/13/24,0:08:28,00IDB-1000021978,POS2,0,0,910,1,0,1398249674,NULL,38:00.6,6883
BIAL0128,TFS BLR Lounge-East Pier,9/13/24,0:09:53,01DB-1000021980,POS2,0,0,925,1,0,1398249675,NULL,38:00.6,6883
BIAL0128,TFS BLR Lounge-East Pier,9/13/24,0:15:22,01DB-1000021981,POS1,50,0,1200,2,0,1398249676,CASH,38:00.6,6883
BIAL0128,TFS BLR Lounge-East Pier,9/13/24,0:22:45,01DB-1000021982,POS3,0,0,750,1,0,1398249677,CARD,38:00.6,6883
BIAL0129,TFS BLR Lounge-West Pier,9/13/24,0:30:15,02DB-1000021983,POS1,100,0,2500,3,0,1398249678,CARD,38:00.6,6883
BIAL0129,TFS BLR Lounge-West Pier,9/13/24,0:45:33,02DB-1000021984,POS2,0,0,1150,2,0,1398249679,CASH,38:00.6,6883
BIAL0129,TFS BLR Lounge-West Pier,9/13/24,1:05:12,02DB-1000021985,POS1,75,0,1800,2,0,1398249680,CARD,38:00.6,6883
BIAL0130,TFS BLR Terminal Store,9/13/24,1:15:40,03DB-1000021986,POS1,0,0,550,1,0,1398249681,CASH,38:00.6,6883
BIAL0130,TFS BLR Terminal Store,9/13/24,1:30:22,03DB-1000021987,POS2,25,0,975,1,0,1398249682,CARD,38:00.6,6883
BIAL0130,TFS BLR Terminal Store,9/13/24,1:45:18,03DB-1000021988,POS3,0,0,1350,2,0,1398249683,CARD,38:00.6,6883
